Number,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
69,0.0094351145,0.0020916031,0.0001603053,0.0128951416,-0.0008170166,1.0023085938
70,0.0170687023,0.0020916031,0.0001603053,-0.0076126709,-0.0010611572,1.0020644531
71,0.0018015267,0.0249923664,0.0154274809,0.0041060791,0.0006478271,1.0037734375
72,0.0094351145,0.0020916031,0.0154274809,-0.0117630615,-0.0010611572,0.9896132813
73,-0.0058320611,0.0097251908,0.0077938931,0.000932251,0.0011361084,1.0035292969
74,-0.0134656489,-0.0055419847,-0.0074732824,-0.0005325928,-0.0008170166,1.002796875
75,0.0018015267,0.0173587786,0.0077938931,0.0001998291,0.0008919678,1.0172011719
76,-0.0058320611,-0.0208091603,0.0154274809,-0.0078568115,0.0021126709,1.0020644531
77,0.0018015267,0.0020916031,0.0077938931,0.016557251,0.0008919678,1.00865625
78,-0.0134656489,0.0020916031,-0.0151068702,0.0043502197,-0.0054556885,0.9971816406
79,0.0018015267,-0.0208091603,0.0001603053,0.0006881104,0.0006478271,0.9969375
80,0.0018015267,0.0097251908,-0.022740458,0.0170455322,0.003333374,1.0189101563
81,0.0170687023,-0.0055419847,-0.0151068702,0.0023970947,-0.0037467041,0.9966933594
82,0.0323358779,-0.0055419847,-0.0074732824,-0.0024857178,-0.0061881104,1.0025527344
83,-0.0134656489,-0.0131755725,0.0154274809,-0.0051712646,0.0011361084,1.0005996094
84,0.0094351145,-0.0055419847,0.0230610687,-0.0032181396,-0.0017935791,1.0123183594
85,-0.0058320611,-0.0055419847,0.0077938931,-0.0124954834,-8.45947265625015E-05,0.9932753906
86,0.0018015267,-0.0360763359,0.0077938931,-4.43115234371461E-05,-0.0013052979,0.9986464844
87,-0.0210992366,0.0097251908,0.0306946565,-0.0007767334,-0.0020377197,1.0020644531
88,0.0094351145,0.0097251908,0.0154274809,-0.0122513428,-0.0003287354,0.9962050781
89,0.0170687023,0.0173587786,0.0154274809,-0.0037064209,-0.0010611572,1.0054824219
90,0.0247022901,0.0020916031,0.0154274809,0.0016646729,-0.0032584229,0.9925429688
91,0.0094351145,-0.0131755725,0.0001603053,0.0128951416,0.0006478271,0.9947402344
92,0.0018015267,-0.0055419847,0.0001603053,-0.0037064209,-0.0076529541,0.9937636719
93,-0.0058320611,0.0020916031,-0.0074732824,-0.0046829834,-8.45947265625015E-05,0.9947402344
94,-0.0134656489,0.0020916031,0.0077938931,-0.0122513428,-0.0013052979,0.9922988281
95,-0.0134656489,-0.0131755725,0.0001603053,0.0168013916,0.0043099365,0.9981582031
96,0.0018015267,-0.0208091603,0.0001603053,0.0031295166,0.0026009521,1.0040175781
97,0.0018015267,-0.0055419847,0.0230610687,0.0023970947,-0.0076529541,0.9927871094
98,-0.0210992366,-0.0055419847,0.0230610687,-4.43115234371461E-05,0.0004036865,1.00475
99,-0.0134656489,0.0020916031,0.0077938931,0.0175338135,0.0028450928,0.9925429688
100,0.0018015267,-0.0131755725,0.0001603053,-0.0032181396,-0.0069205322,0.9913222656
101,0.0170687023,-0.0131755725,0.0001603053,0.0021529541,-0.0042349854,1.0013320313
102,0.0094351145,0.0020916031,0.0001603053,0.0038619385,-0.0098502197,0.9893691406
103,0.0018015267,0.0173587786,0.0077938931,-0.0039505615,-0.0010611572,1.0059707031
104,0.0018015267,-0.0131755725,0.0001603053,-0.002973999,-8.45947265625015E-05,0.9979140625
