Number,Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z
1,-0.0074083969465655874,-0.014133587786259921,0.01001908396946477,-0.0066330566406250305,0.0037579345703124822,1.0019493408203124
2,0.007858778625953466,-0.006500000000000367,0.01001908396946477,0.0006911621093749695,-0.012111206054687518,0.9934044189453124
3,0.00022519083969391174,0.008767175572518715,-0.012881679389313866,0.01558374023437497,-0.0018572998046875178,1.0195274658203124
4,-0.0074083969465655874,-0.006500000000000367,-0.005248091603054311,-0.0010178222656250305,0.0015606689453124822,1.0029259033203124
5,-0.0074083969465655874,-0.006500000000000367,0.017652671755724297,-0.0024826660156250305,0.015232543945312482,1.0004844970703124
6,0.007858778625953466,-0.014133587786259921,-0.012881679389313866,-0.0063889160156250305,0.004978637695312482,0.9921837158203124
7,-0.0074083969465655874,-0.014133587786259921,0.01001908396946477,-0.0017502441406250305,0.0025372314453124822,0.9977989501953124
8,-0.0074083969465655874,-0.006500000000000367,-0.005248091603054311,-0.00907446289062503,-0.0025897216796875178,1.0151329345703124
9,0.00022519083969391174,-0.006500000000000367,0.0023854961832052157,0.00020288085937496952,-0.00039245605468751776,0.9995079345703124
10,0.007858778625953466,0.024034351145037797,0.0023854961832052157,0.0014235839843749695,0.015232543945312482,1.0009727783203124
11,-0.0074083969465655874,-0.006500000000000367,0.01001908396946477,-0.0012619628906250305,0.004246215820312482,0.9902305908203124
12,0.00022519083969391174,0.016400763358778242,0.0023854961832052157,-0.01005102539062503,-0.014064331054687518,0.9963341064453124
13,0.00022519083969391174,0.0011335877862591603,0.01001908396946477,-0.0002854003906250305,0.014744262695312482,0.9982872314453124
14,-0.015041984732825142,-0.006500000000000367,0.0023854961832052157,-0.01151586914062503,0.004978637695312482,0.9965782470703124
15,-0.0074083969465655874,0.008767175572518715,-0.005248091603054311,0.0028884277343749695,-0.0008807373046875178,1.0039024658203124
16,0.00022519083969391174,0.0011335877862591603,0.0023854961832052157,0.01778100585937497,-0.0023455810546875178,1.0002403564453124
17,0.007858778625953466,0.0011335877862591603,-0.005248091603054311,-0.0049240722656250305,0.0027813720703124822,1.0043907470703124
18,0.023125954198472576,-0.014133587786259921,-0.005248091603054311,-0.0044357910156250305,0.012546997070312482,1.0034141845703124
19,0.015492366412213021,0.008767175572518715,0.025286259541983824,-0.0022385253906250305,-0.0011248779296875178,1.0136680908203124
20,0.007858778625953466,0.008767175572518715,0.01001908396946477,0.0036208496093749695,0.012058715820312482,1.0034141845703124
21,-0.0074083969465655874,-0.006500000000000367,-0.005248091603054311,-0.01053930664062503,-0.0021014404296875178,0.9977989501953124
22,0.007858778625953466,-0.006500000000000367,0.01001908396946477,-0.01053930664062503,-0.0016131591796875178,0.9995079345703124
23,-0.022675572519084697,-0.006500000000000367,0.01001908396946477,0.0045974121093749695,0.014011840820312482,1.0017052001953124
24,-0.0074083969465655874,-0.014133587786259921,0.0023854961832052157,-0.0061447753906250305,0.0032696533203124822,0.9995079345703124
25,0.00022519083969391174,0.008767175572518715,-0.005248091603054311,0.0011794433593749695,0.004734497070312482,1.0009727783203124
26,0.00022519083969391174,0.008767175572518715,-0.005248091603054311,-0.01151586914062503,-0.014308471679687518,1.0141563720703124
27,0.007858778625953466,0.008767175572518715,0.01001908396946477,0.0004470214843749695,0.0005841064453124822,0.9892540283203124
28,0.007858778625953466,-0.006500000000000367,-0.005248091603054311,0.0033767089843749695,0.007664184570312482,1.0014610595703124
29,0.007858778625953466,-0.021767175572519476,0.0023854961832052157,-0.0010178222656250305,0.0005841064453124822,0.9938927001953124
30,-0.0074083969465655874,-0.014133587786259921,-0.005248091603054311,0.0021560058593749695,0.012791137695312482,1.0102501220703124
31,0.023125954198472576,-0.006500000000000367,0.0023854961832052157,-0.0012619628906250305,0.004246215820312482,1.0026817626953124
32,-0.0074083969465655874,0.008767175572518715,0.01001908396946477,-0.00858618164062503,0.0015606689453124822,0.9887657470703124
33,0.007858778625953466,0.008767175572518715,-0.028148854961832948,-0.0027268066406250305,0.0027813720703124822,0.9941368408203124
34,-0.0074083969465655874,-0.006500000000000367,0.0023854961832052157,0.0006911621093749695,-0.0006365966796875178,1.0180626220703124
35,0.00022519083969391174,-0.006500000000000367,0.0023854961832052157,-0.0041916503906250305,0.0020489501953124822,0.9941368408203124
36,0.00022519083969391174,-0.014133587786259921,0.0023854961832052157,-0.00834204101562503,0.0008282470703124822,0.9995079345703124
37,0.00022519083969391174,0.0011335877862591603,0.01001908396946477,0.0033767089843749695,9.582519531248224e-05,1.0060997314453124
38,-0.015041984732825142,-0.006500000000000367,0.0023854961832052157,-0.0012619628906250305,-0.00039245605468751776,0.9992637939453124
